"week","home_team","away_team","full_name","avgpoints","defense","athome","actualpts","avg","low","high","intop30","std2017","rectar","maxrectar","minrectar","rectds","recyards","defsacks","passing_int","passing_yds_against","passing_tds_against","rushing_yds_allowed","rushing_tds_allowed"
5,"HOU","KC","Chris Conley",5.23,"HOU",0,7.60,6.5,6.2,8.8,0,3.95,3.25,4,1,0.00,32.25,2.67,0.00,242.33,2.00,98.67,0.33
5,"TB","NE","Chris Godwin",3.70,"NE",1,1.80,3.5,2.0,6.5,0,5.23,2.50,3,2,0.00,22.00,2.00,0.67,341.67,2.67,130.33,0.67
6,"ARI","TB","Chris Godwin",3.07,"ARI",0,1.90,3.2,1.9,5.4,0,3.86,2.33,3,2,0.00,17.33,2.25,0.75,231.25,1.50,88.00,0.75
7,"BUF","TB","Chris Godwin",2.78,"BUF",0,1.50,,,,0,3.20,2.00,3,1,0.00,15.25,2.40,1.60,248.80,0.40,88.00,0.80
8,"TB","CAR","Chris Godwin",2.52,"CAR",1,1.80,,,,0,2.83,1.80,3,1,0.00,13.20,3.33,0.17,216.00,1.67,83.33,0.50
9,"NO","TB","Chris Godwin",2.40,"NO",0,1.90,,,,0,2.55,1.83,3,1,0.00,12.33,2.83,1.33,256.33,1.50,114.17,0.67
10,"TB","NYJ","Chris Godwin",2.33,"NYJ",1,11.80,6.4,4.3,10.2,0,2.34,1.71,3,1,0.00,11.86,1.38,1.13,241.50,2.13,128.25,0.63
11,"MIA","TB","Chris Godwin",3.51,"MIA",0,5.80,3.5,3.2,4.3,0,3.99,2.75,10,1,0.00,18.88,2.00,0.38,233.38,1.50,94.00,0.75
12,"ATL","TB","Chris Godwin",3.77,"ATL",0,2.70,4.5,4.4,5.4,0,3.81,2.67,10,1,0.00,21.00,2.89,0.22,219.11,1.22,113.67,0.56
4,"NE","CAR","Chris Hogan",15.03,"CAR",1,17.00,12.0,11.6,16.7,0,10.19,5.67,6,5,1.00,51.33,3.50,0.50,159.00,0.00,60.00,0.00
5,"TB","NE","Chris Hogan",15.53,"TB",0,21.40,13.3,13.0,17.2,1,8.38,6.50,9,5,1.00,53.50,0.50,1.00,335.00,2.00,72.50,0.50
6,"NYJ","NE","Chris Hogan",16.70,"NYJ",0,2.90,13.7,12.5,19.3,0,7.71,7.40,11,5,1.00,57.60,1.50,1.00,203.50,1.75,143.75,1.00
7,"NE","ATL","Chris Hogan",14.40,"ATL",1,11.10,12.8,11.8,18.1,0,8.91,6.83,11,4,0.83,51.17,3.00,0.25,250.50,1.25,93.00,0.50
8,"NE","LAC","Chris Hogan",13.93,"LAC",1,11.00,13.0,12.3,17.2,0,8.23,6.71,11,4,0.71,54.00,3.00,0.67,207.00,1.50,152.50,0.83
